ID             ,  Locality      , DD , MM , YY , Stasjonsnr , Stadium, DNAcons , Score , Percent , Loci
GM-G-TOP-101   , Topdalsfjorden ,24,2,15,   , Adult,       ,1,99.979,24
GM-G-TOP-102   , Topdalsfjorden ,24,2,15,   , Adult,       ,1,100,24
GM-G-TOP-103   , Topdalsfjorden ,24,2,15,   , Adult,       ,1,100,24
GM-G-TOP-104   , Topdalsfjorden ,24,2,15,   , Adult ,       ,2,99.989,24
GM-G-TOP-105   , Topdalsfjorden ,24,2,15,   , Adult ,       ,1,99.812,22
GM-G-TOP-106   , Topdalsfjorden ,24,2,15,   , Adult ,       ,1,100,22
GM-G-TOP-107   , Topdalsfjorden ,24,2,15,   , Adult ,       ,1,100,22
GM-G-TOP-108   , Topdalsfjorden ,24,2,15,   , Adult ,       ,2,94.895,24
GM-G-TOP-109   , Topdalsfjorden ,24,2,15,   , Adult ,       ,1,99.774,22
GM-G-TOP-110   , Topdalsfjorden ,24,2,15,   , Adult ,       ,1,100,24
GM-G-TOP-111   , Topdalsfjorden ,24,2,15,   , Adult ,       ,1,100,23
GM-G-TOP-112   , Topdalsfjorden ,24,2,15,   , Adult ,       ,1,100,24
GM-G-TOP-113   , Topdalsfjorden ,24,2,15,   , Adult ,       ,1,100,22
GM-G-TOP-114   , Topdalsfjorden ,24,2,15,   , Adult ,       ,1,100,23
GM-G-TOP-115   , Topdalsfjorden ,24,2,15,   , Adult ,       ,1,100,24
GM-G-TOP-116   , Topdalsfjorden ,24,2,15,   , Adult ,       ,1,100,24
GM-G-TOP-117   , Topdalsfjorden ,20,2,15,   , Adult ,       ,1,97.934,24
GM-G-TOP-118   , Topdalsfjorden ,20,2,15,   , Adult ,       ,1,99.984,21
GM-G-TOP-119   , Topdalsfjorden ,20,2,15,   , Adult ,       ,1,100,24
GM-G-TOP-120   , Topdalsfjorden ,20,2,15,   , Adult ,       ,1,99.991,24
GM-G-TOP-121   , Topdalsfjorden ,24,2,15,   , Adult ,       ,1,99.997,24
GM-G-TOP-122   , Topdalsfjorden ,24,2,15,   , Adult ,       ,1,100,23
GM-G-TOP-123   , Topdalsfjorden ,24,2,15,   , Adult ,       ,1,100,24
GM-G-TOP-124   , Topdalsfjorden ,24,2,15,   , Adult ,       ,2,99.999,24
GM-G-TOP-125   , Topdalsfjorden ,24,2,15,   , Adult ,       ,1,100,24
GM-G-TOP-126   , Topdalsfjorden ,19,2,15,   , Adult ,       ,1,100,24
GM-G-TOP-127   , Topdalsfjorden ,19,2,15,   , Adult ,       ,1,100,24
GM-G-TOP-128   , Topdalsfjorden ,24,2,15,   , Adult ,       ,2,99.934,23
GM-G-TOP-129   , Topdalsfjorden ,19,2,15,   , Adult ,       ,1,100,23
GM-G-TOP-130   , Topdalsfjorden ,    ,    ,    ,   , Adult ,       ,1,100,21
GM-G-TOP-131   , Topdalsfjorden ,24,2,15,   , Adult ,       ,1,100,24
GM-G-TOP-132   , Topdalsfjorden ,19,2,15,   , Adult ,       ,2,99.585,24
GM-G-TOP-133   , Topdalsfjorden ,    ,    ,    ,   , Adult ,       ,1,99.998,24
GM-G-TOP-134   , Topdalsfjorden ,25,2,15,   , Adult ,       ,1,100,24
GM-G-TOP-135   , Topdalsfjorden ,25,2,15,   , Adult ,       ,1,99.996,21
GM-G-TOP-136   , Topdalsfjorden ,    ,    ,    ,   , Adult ,       ,1,98.292,24
GM-G-TOP-137   , Topdalsfjorden ,    ,    ,    ,   , Adult ,       ,1,100,24
GM-G-TOP-138   , Topdalsfjorden ,    ,    ,    ,   , Adult ,       ,1,98.692,21
GM-G-TOP-139   , Topdalsfjorden ,    ,    ,    ,   , Adult ,       ,1,99.999,24
GM-G-TOP-140   , Topdalsfjorden ,    ,    ,    ,   , Adult ,       ,1,100,22
GM-G-TOP-141   , Topdalsfjorden ,19,2,15,   , Adult ,       ,1,100,24
GM-G-TOP-142   , Topdalsfjorden ,19,2,15,   , Adult ,       ,1,100,24
